# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ADM2	ENSG00000128165	ENST00000395737	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
ADM2	ENSG00000128165	ENST00000395738	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
ADORA2A-AS1	ENSG00000178803	ENST00000326341	antisense	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0
ADORA2A-AS1	ENSG00000178803	ENST00000412790	antisense	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0
ADORA2A-AS1	ENSG00000178803	ENST00000427813	antisense	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0
ADORA2A-AS1	ENSG00000178803	ENST00000543438	antisense	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0
ADRBK2	ENSG00000100077	ENST00000324198	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
ADRBK2	ENSG00000100077	ENST00000455558	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
AIFM3	ENSG00000183773	ENST00000333607	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4
AIFM3	ENSG00000183773	ENST00000335375	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4
AIFM3	ENSG00000183773	ENST00000399163	protein_coding	0	0	0	4	0	0	0	2	0	0	0	0	0	0	2
AIFM3	ENSG00000183773	ENST00000399167	protein_coding	0	0	0	4	0	0	0	2	0	0	0	0	0	0	2
AIFM3	ENSG00000183773	ENST00000405089	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4
AIFM3	ENSG00000183773	ENST00000417515	nonsense_mediated_decay	0	0	0	4	0	0	0	2	0	0	0	0	0	0	2
AIFM3	ENSG00000183773	ENST00000426113	nonsense_mediated_decay	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4
AIFM3	ENSG00000183773	ENST00000434714	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4
AIFM3	ENSG00000183773	ENST00000440238	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4
AIFM3	ENSG00000183773	ENST00000441376	protein_coding	0	0	0	4	0	0	0	2	0	0	0	0	0	0	2
AIFM3	ENSG00000183773	ENST00000467926	retained_intron	0	0	0	4	0	0	0	2	0	0	0	0	0	0	2
AIFM3	ENSG00000183773	ENST00000468124	processed_transcript	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4
AIFM3	ENSG00000183773	ENST00000472575	retained_intron	0	0	0	4	0	0	0	2	0	0	0	0	0	0	2
AIFM3	ENSG00000183773	ENST00000479523	retained_intron	0	0	0	4	0	0	0	2	0	0	0	0	0	0	2
AIFM3	ENSG00000183773	ENST00000484206	retained_intron	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4
AIFM3	ENSG00000183773	ENST00000495869	retained_intron	0	0	0	4	0	0	0	2	0	0	0	0	0	0	2
AIFM3	ENSG00000183773	ENST00000496097	processed_transcript	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4
AL022237.3	ENSG00000234735	ENST00000446663	processed_pseudogene	0	0	0	4	0	0	2	0	0	0	0	0	0	0	2
AL022314.1	ENSG00000252142	ENST00000516333	miRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
AL022328.1	ENSG00000268427	ENST00000595015	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
AL049747.1	ENSG00000268818	ENST00000594060	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0
ANKRD62P1-PARP4P3	ENSG00000189295	ENST00000456726	processed_transcript	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
AP000343.1	ENSG00000214526	ENST00000440602	processed_pseudogene	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
AP000343.2	ENSG00000236611	ENST00000450776	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
AP000344.4	ENSG00000227755	ENST00000426024	transcribed_processed_pseudogene	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
AP000344.4	ENSG00000227755	ENST00000454268	processed_transcript	0	0	0	4	0	0	2	0	0	0	0	0	0	0	2
AP000344.4	ENSG00000227755	ENST00000457193	processed_transcript	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
AP000345.1	ENSG00000178248	ENST00000320372	lincRNA	0	0	0	4	0	0	2	2	0	0	0	0	0	0	0
AP000345.1	ENSG00000178248	ENST00000539460	lincRNA	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
AP000345.4	ENSG00000225413	ENST00000432249	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
AP000347.2	ENSG00000272578	ENST00000417194	processed_transcript	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
AP000347.2	ENSG00000272578	ENST00000432595	processed_transcript	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0
AP000347.2	ENSG00000272578	ENST00000435868	transcribed_unprocessed_pseudogene	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0
AP000347.2	ENSG00000272578	ENST00000438858	processed_transcript	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
AP000347.2	ENSG00000272578	ENST00000444220	processed_transcript	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0
AP000357.4	ENSG00000224334	ENST00000409926	processed_pseudogene	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
AP000358.5	ENSG00000237601	ENST00000456260	processed_pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
AP1B1	ENSG00000100280	ENST00000317368	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
AP1B1	ENSG00000100280	ENST00000356015	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
AP1B1	ENSG00000100280	ENST00000357586	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
AP1B1	ENSG00000100280	ENST00000402502	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
AP1B1	ENSG00000100280	ENST00000405198	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
AP1B1	ENSG00000100280	ENST00000415447	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
AP1B1	ENSG00000100280	ENST00000415756	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
AP1B1	ENSG00000100280	ENST00000421126	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
AP1B1	ENSG00000100280	ENST00000432560	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
AP1B1	ENSG00000100280	ENST00000473606	retained_intron	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
APOBEC3B	ENSG00000179750	ENST00000333467	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
APOBEC3B	ENSG00000179750	ENST00000335760	nonsense_mediated_decay	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
APOBEC3B	ENSG00000179750	ENST00000402182	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
APOBEC3B	ENSG00000179750	ENST00000407298	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
APOBEC3B-AS1	ENSG00000249310	ENST00000513758	antisense	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
APOBEC3D	ENSG00000243811	ENST00000216099	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
APOBEC3D	ENSG00000243811	ENST00000381568	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
APOBEC3D	ENSG00000243811	ENST00000427494	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
APOBEC3G	ENSG00000239713	ENST00000407997	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
APOBEC3G	ENSG00000239713	ENST00000452957	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
APOBEC3G	ENSG00000239713	ENST00000461827	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
APOBEC3G	ENSG00000239713	ENST00000463934	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
APOBEC3G	ENSG00000239713	ENST00000480000	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
APOBEC3G	ENSG00000239713	ENST00000486357	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
APOL1	ENSG00000100342	ENST00000319136	protein_coding	0	0	0	6	0	0	4	2	0	0	0	0	0	0	0
APOL1	ENSG00000100342	ENST00000347595	protein_coding	0	0	0	6	0	0	4	2	0	0	0	0	0	0	0
APOL1	ENSG00000100342	ENST00000397278	protein_coding	0	0	0	6	0	0	4	2	0	0	0	0	0	0	0
APOL1	ENSG00000100342	ENST00000397279	protein_coding	0	0	0	6	0	0	4	2	0	0	0	0	0	0	0
APOL1	ENSG00000100342	ENST00000422471	nonsense_mediated_decay	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
APOL1	ENSG00000100342	ENST00000422706	protein_coding	0	0	0	6	0	0	4	2	0	0	0	0	0	0	0
APOL1	ENSG00000100342	ENST00000426053	protein_coding	0	0	0	6	0	0	4	2	0	0	0	0	0	0	0
APOL1	ENSG00000100342	ENST00000427990	protein_coding	0	0	0	6	0	0	4	2	0	0	0	0	0	0	0
APOL1	ENSG00000100342	ENST00000431184	nonsense_mediated_decay	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
APOL1	ENSG00000100342	ENST00000433768	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
APOL1	ENSG00000100342	ENST00000438034	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
APOL1	ENSG00000100342	ENST00000439680	nonsense_mediated_decay	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
APOL1	ENSG00000100342	ENST00000440669	protein_coding	0	0	0	6	0	0	4	2	0	0	0	0	0	0	0
APOL1	ENSG00000100342	ENST00000475519	retained_intron	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
APOL2	ENSG00000128335	ENST00000249066	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
APOL2	ENSG00000128335	ENST00000358502	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
APOL2	ENSG00000128335	ENST00000451256	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
APOL2	ENSG00000128335	ENST00000454728	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
APOL2	ENSG00000128335	ENST00000529194	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
APOL4	ENSG00000100336	ENST00000328429	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
APOL4	ENSG00000100336	ENST00000332987	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
APOL4	ENSG00000100336	ENST00000352371	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
APOL4	ENSG00000100336	ENST00000397275	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
APOL4	ENSG00000100336	ENST00000404685	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
APOL4	ENSG00000100336	ENST00000405511	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
APOL4	ENSG00000100336	ENST00000419360	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
APOL4	ENSG00000100336	ENST00000429038	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
APOL4	ENSG00000100336	ENST00000436763	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
APOL4	ENSG00000100336	ENST00000449084	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
APOL4	ENSG00000100336	ENST00000457630	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
APOL4	ENSG00000100336	ENST00000479929	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
APOL4	ENSG00000100336	ENST00000480236	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
APOL4	ENSG00000100336	ENST00000493203	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
APOL4	ENSG00000100336	ENST00000524531	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
APOL5	ENSG00000128313	ENST00000249044	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0
ARHGAP8	ENSG00000241484	ENST00000336963	protein_coding	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0
ARHGAP8	ENSG00000241484	ENST00000356099	protein_coding	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0
ARHGAP8	ENSG00000241484	ENST00000389772	nonsense_mediated_decay	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0
ARHGAP8	ENSG00000241484	ENST00000389773	protein_coding	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0
ARHGAP8	ENSG00000241484	ENST00000389774	protein_coding	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0
ARHGAP8	ENSG00000241484	ENST00000396119	protein_coding	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0
ARHGAP8	ENSG00000241484	ENST00000412433	protein_coding	0	0	0	8	0	0	2	6	0	0	0	0	0	0	0
ARHGAP8	ENSG00000241484	ENST00000447333	nonsense_mediated_decay	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0
ARHGAP8	ENSG00000241484	ENST00000460809	retained_intron	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0
ARHGAP8	ENSG00000241484	ENST00000469342	retained_intron	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ARHGAP8	ENSG00000241484	ENST00000469872	processed_transcript	0	0	0	6	0	0	2	4	0	0	0	0	0	0	0
ARHGAP8	ENSG00000241484	ENST00000495219	retained_intron	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ARHGAP8	ENSG00000241484	ENST00000498310	retained_intron	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ARHGAP8	ENSG00000241484	ENST00000517296	protein_coding	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0
ARL2BPP10	ENSG00000225225	ENST00000446487	processed_pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
ARVCF	ENSG00000099889	ENST00000263207	protein_coding	0	0	0	4	0	0	2	2	0	0	0	0	0	0	0
ARVCF	ENSG00000099889	ENST00000344269	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
ARVCF	ENSG00000099889	ENST00000467828	processed_transcript	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ARVCF	ENSG00000099889	ENST00000495096	retained_intron	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000307790	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000397771	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000412689	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
ASCC2	ENSG00000100325	ENST00000431535	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000449900	nonsense_mediated_decay	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000453160	nonsense_mediated_decay	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000454854	nonsense_mediated_decay	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000458594	nonsense_mediated_decay	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000460313	retained_intron	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000462454	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
ASCC2	ENSG00000100325	ENST00000465667	retained_intron	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000492821	retained_intron	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000495681	retained_intron	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000495967	processed_transcript	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000542393	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ASH2LP1	ENSG00000224144	ENST00000438037	processed_pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
ATP6V1E1	ENSG00000131100	ENST00000253413	protein_coding	0	0	0	4	0	0	0	2	0	0	0	0	0	0	2
ATP6V1E1	ENSG00000131100	ENST00000399796	protein_coding	0	0	0	4	0	0	0	2	0	0	0	0	0	0	2
ATP6V1E1	ENSG00000131100	ENST00000399798	protein_coding	0	0	0	4	0	0	0	2	0	0	0	0	0	0	2
ATP6V1E1	ENSG00000131100	ENST00000413576	protein_coding	0	0	0	4	0	0	0	2	0	0	0	0	0	0	2
ATP6V1E1	ENSG00000131100	ENST00000460085	processed_transcript	0	0	0	4	0	0	0	2	0	0	0	0	0	0	2
ATP6V1E1	ENSG00000131100	ENST00000478963	processed_transcript	0	0	0	4	0	0	0	2	0	0	0	0	0	0	2
ATXN10	ENSG00000130638	ENST00000252934	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
ATXN10	ENSG00000130638	ENST00000381061	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
ATXN10	ENSG00000130638	ENST00000470722	processed_transcript	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ATXN10	ENSG00000130638	ENST00000476998	processed_transcript	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ATXN10	ENSG00000130638	ENST00000498009	processed_transcript	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
BAIAP2L2	ENSG00000128298	ENST00000332536	protein_coding	0	0	0	7	0	0	2	2	0	0	0	0	0	0	3
BAIAP2L2	ENSG00000128298	ENST00000381669	protein_coding	0	0	0	7	0	0	0	4	0	0	0	0	0	0	3
BAIAP2L2	ENSG00000128298	ENST00000428572	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
BCL2L13	ENSG00000099968	ENST00000317582	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
BCL2L13	ENSG00000099968	ENST00000337612	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
BCL2L13	ENSG00000099968	ENST00000355028	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
BCL2L13	ENSG00000099968	ENST00000399777	nonsense_mediated_decay	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
BCL2L13	ENSG00000099968	ENST00000399781	processed_transcript	0	0	0	6	0	0	0	4	0	0	0	0	0	0	2
BCL2L13	ENSG00000099968	ENST00000399782	protein_coding	0	0	0	8	0	0	2	4	0	0	0	0	0	0	2
BCL2L13	ENSG00000099968	ENST00000418951	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
BCL2L13	ENSG00000099968	ENST00000464649	processed_transcript	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
BCL2L13	ENSG00000099968	ENST00000479296	processed_transcript	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
BCL2L13	ENSG00000099968	ENST00000485631	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
BCL2L13	ENSG00000099968	ENST00000493680	protein_coding	0	0	0	4	0	0	2	2	0	0	0	0	0	0	0
BCL2L13	ENSG00000099968	ENST00000498133	nonsense_mediated_decay	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
BCL2L13	ENSG00000099968	ENST00000538149	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
BCL2L13	ENSG00000099968	ENST00000543133	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
BCR	ENSG00000186716	ENST00000305877	protein_coding	0	0	0	6	0	0	2	4	0	0	0	0	0	0	0
BCR	ENSG00000186716	ENST00000359540	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
BCR	ENSG00000186716	ENST00000398512	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
BCR	ENSG00000186716	ENST00000419722	processed_transcript	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
BCR	ENSG00000186716	ENST00000436990	processed_transcript	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
BCR	ENSG00000186716	ENST00000463770	processed_transcript	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
BCR	ENSG00000186716	ENST00000466076	retained_intron	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
BCR	ENSG00000186716	ENST00000471452	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
BCR	ENSG00000186716	ENST00000479188	processed_transcript	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
BCR	ENSG00000186716	ENST00000487679	processed_transcript	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
BCR	ENSG00000186716	ENST00000487968	retained_intron	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
BCRP3	ENSG00000215481	ENST00000447261	unprocessed_pseudogene	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
BCRP7	ENSG00000215544	ENST00000511549	unprocessed_pseudogene	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
BPIFC	ENSG00000184459	ENST00000397450	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
BPIFC	ENSG00000184459	ENST00000397452	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
BPIFC	ENSG00000184459	ENST00000534972	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
C22orf26	ENSG00000182257	ENST00000333761	protein_coding	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
C22orf26	ENSG00000182257	ENST00000396008	protein_coding	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
C22orf34	ENSG00000188511	ENST00000400023	protein_coding	0	0	0	6	0	0	0	4	0	0	0	0	0	0	2
C22orf34	ENSG00000188511	ENST00000405854	protein_coding	0	0	0	6	0	0	0	4	0	0	0	0	0	0	2
C22orf34	ENSG00000188511	ENST00000414287	nonsense_mediated_decay	0	0	0	12	0	0	0	10	0	0	0	0	0	0	2
C22orf34	ENSG00000188511	ENST00000416411	nonsense_mediated_decay	0	0	0	8	0	0	0	6	0	0	0	0	0	0	2
C22orf34	ENSG00000188511	ENST00000444628	protein_coding	0	0	0	6	0	0	0	4	0	0	0	0	0	0	2
C22orf34	ENSG00000188511	ENST00000498829	processed_transcript	0	0	0	4	0	0	0	2	0	0	0	0	0	0	2
CABIN1	ENSG00000099991	ENST00000263119	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CABIN1	ENSG00000099991	ENST00000398319	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CABIN1	ENSG00000099991	ENST00000405822	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CABIN1	ENSG00000099991	ENST00000484593	retained_intron	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CACNA1I	ENSG00000100346	ENST00000336649	protein_coding	0	0	0	12	0	0	0	12	0	0	0	0	0	0	0
CACNA1I	ENSG00000100346	ENST00000400164	protein_coding	0	0	0	12	0	0	0	12	0	0	0	0	0	0	0
CACNA1I	ENSG00000100346	ENST00000401624	protein_coding	0	0	0	12	0	0	0	12	0	0	0	0	0	0	0
CACNA1I	ENSG00000100346	ENST00000402142	protein_coding	0	0	0	12	0	0	0	12	0	0	0	0	0	0	0
CACNA1I	ENSG00000100346	ENST00000404898	protein_coding	0	0	0	12	0	0	0	12	0	0	0	0	0	0	0
CACNA1I	ENSG00000100346	ENST00000407673	protein_coding	0	0	0	12	0	0	0	12	0	0	0	0	0	0	0
CACNA1I	ENSG00000100346	ENST00000471970	processed_transcript	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0
CACNG2	ENSG00000166862	ENST00000300105	protein_coding	0	0	0	5	0	3	0	2	0	0	0	0	0	0	0
CACNG2	ENSG00000166862	ENST00000480002	processed_transcript	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
CBX7	ENSG00000100307	ENST00000216133	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
