# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AC002472.13	ENSG00000187905	ENST00000442047	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AC002472.13	ENSG00000187905	ENST00000469766	retained_intron	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AC002472.13	ENSG00000187905	ENST00000473769	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
AC002472.13	ENSG00000187905	ENST00000497328	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
AC002472.13	ENSG00000187905	ENST00000543388	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004019.10	ENSG00000229492	ENST00000455617	processed_pseudogene	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AC004019.18	ENSG00000272675	ENST00000608960	lincRNA	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AC004461.4	ENSG00000237347	ENST00000412461	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC004463.6	ENSG00000260924	ENST00000565162	antisense	0	0	0	8	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1
AC004832.1	ENSG00000203606	ENST00000366413	pseudogene	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
AC005301.8	ENSG00000235343	ENST00000422917	lincRNA	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AC006547.14	ENSG00000234409	ENST00000439765	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
AC006547.14	ENSG00000234409	ENST00000444532	retained_intron	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
AC006547.14	ENSG00000234409	ENST00000540078	protein_coding	0	0	0	3	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
AC006547.8	ENSG00000243762	ENST00000412713	antisense	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AC006548.19	ENSG00000225480	ENST00000427470	processed_pseudogene	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
AC006548.26	ENSG00000270226	ENST00000605217	processed_pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC006946.12	ENSG00000235328	ENST00000429106	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC006946.15	ENSG00000235478	ENST00000428078	nonsense_mediated_decay	0	0	0	3	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
AC006946.15	ENSG00000235478	ENST00000441544	protein_coding	0	0	0	3	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
AC006946.16	ENSG00000273203	ENST00000608373	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC006946.17	ENSG00000273442	ENST00000609791	lincRNA	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AC007050.17	ENSG00000236003	ENST00000420225	antisense	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
AC007050.18	ENSG00000250261	ENST00000508880	unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC007064.22	ENSG00000237835	ENST00000422608	processed_pseudogene	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
AC007064.24	ENSG00000237689	ENST00000442403	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC007064.25	ENSG00000237358	ENST00000412238	processed_pseudogene	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC007326.9	ENSG00000271275	ENST00000604539	processed_pseudogene	0	0	0	7	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2
AC008132.1	ENSG00000182824	ENST00000342888	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC008132.13	ENSG00000161103	ENST00000342005	protein_coding	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1
AC008132.13	ENSG00000161103	ENST00000412938	processed_transcript	0	0	0	5	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1
AC008132.13	ENSG00000161103	ENST00000416498	processed_transcript	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1
AC008132.13	ENSG00000161103	ENST00000445398	processed_transcript	0	0	0	4	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1
ACO2	ENSG00000100412	ENST00000216254	protein_coding	0	0	0	5	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1
ACO2	ENSG00000100412	ENST00000396512	protein_coding	0	0	0	5	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1
ACO2	ENSG00000100412	ENST00000466237	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACO2	ENSG00000100412	ENST00000471094	processed_transcript	0	0	0	5	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1
ACO2	ENSG00000100412	ENST00000478010	retained_intron	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACO2	ENSG00000100412	ENST00000481310	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACO2	ENSG00000100412	ENST00000482208	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADM2	ENSG00000128165	ENST00000362068	protein_coding	0	1	0	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ADM2	ENSG00000128165	ENST00000395737	protein_coding	0	0	0	3	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
ADM2	ENSG00000128165	ENST00000395738	protein_coding	0	1	0	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ADORA2A	ENSG00000128271	ENST00000337539	protein_coding	0	0	0	16	0	0	1	0	0	4	8	0	0	0	0	0	0	0	3
ADORA2A	ENSG00000128271	ENST00000424232	protein_coding	0	0	0	14	0	0	1	0	0	4	5	0	0	0	0	0	0	0	4
ADORA2A	ENSG00000128271	ENST00000436735	protein_coding	0	0	0	8	0	0	1	0	0	4	0	0	0	0	0	0	0	0	3
ADORA2A	ENSG00000128271	ENST00000439591	protein_coding	0	0	0	8	0	0	1	0	0	4	0	0	0	0	0	0	0	0	3
ADORA2A	ENSG00000128271	ENST00000444262	protein_coding	0	0	0	18	0	0	1	0	0	4	9	0	0	0	0	0	0	0	4
ADORA2A	ENSG00000128271	ENST00000464977	protein_coding	0	0	0	12	0	0	1	0	0	3	4	0	0	0	0	0	0	0	4
ADORA2A	ENSG00000128271	ENST00000467385	processed_transcript	0	0	0	19	0	0	0	0	0	4	9	0	1	0	0	0	0	0	5
ADORA2A	ENSG00000128271	ENST00000472248	protein_coding	0	0	0	7	0	0	1	0	0	3	0	0	0	0	0	0	0	0	3
ADORA2A	ENSG00000128271	ENST00000486108	protein_coding	0	0	0	14	0	0	2	0	0	4	4	0	0	0	0	0	0	0	4
ADORA2A	ENSG00000128271	ENST00000486351	processed_transcript	0	0	0	15	0	0	0	0	0	4	5	0	1	0	0	0	0	0	5
ADORA2A	ENSG00000128271	ENST00000496258	protein_coding	0	0	0	11	0	0	1	0	0	4	3	0	0	0	0	0	0	0	3
ADORA2A	ENSG00000128271	ENST00000496497	processed_transcript	0	0	0	16	0	0	0	0	0	4	9	0	0	0	0	0	0	0	3
ADORA2A-AS1	ENSG00000178803	ENST00000326341	antisense	1	0	0	37	0	0	0	0	0	3	32	0	0	0	1	0	0	0	3
ADORA2A-AS1	ENSG00000178803	ENST00000412790	antisense	0	0	0	18	0	0	0	0	0	5	10	0	0	0	0	0	0	0	3
ADORA2A-AS1	ENSG00000178803	ENST00000427813	antisense	0	0	0	34	0	0	0	0	0	4	25	0	3	0	0	0	0	0	2
ADORA2A-AS1	ENSG00000178803	ENST00000543438	antisense	0	0	0	38	0	0	0	0	0	3	32	0	0	0	0	0	0	0	3
ADRBK2	ENSG00000100077	ENST00000324198	protein_coding	0	0	0	15	0	0	0	0	0	0	13	0	0	0	0	0	0	0	2
ADRBK2	ENSG00000100077	ENST00000455558	nonsense_mediated_decay	0	0	0	13	0	0	0	0	0	0	11	0	0	0	0	0	0	0	2
ADSL	ENSG00000239900	ENST00000498234	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AIFM3	ENSG00000183773	ENST00000333607	protein_coding	0	0	0	10	1	0	0	0	0	1	4	0	0	0	0	0	0	0	4
AIFM3	ENSG00000183773	ENST00000335375	protein_coding	0	0	0	11	1	0	0	0	0	1	4	0	0	0	0	0	0	0	5
AIFM3	ENSG00000183773	ENST00000399163	protein_coding	0	0	0	14	1	0	0	0	0	1	6	0	0	0	0	0	0	0	6
AIFM3	ENSG00000183773	ENST00000399167	protein_coding	0	0	0	14	1	0	0	0	0	1	6	0	0	0	0	0	0	0	6
AIFM3	ENSG00000183773	ENST00000405089	protein_coding	0	0	0	11	1	0	0	0	0	1	4	0	0	0	0	0	0	0	5
AIFM3	ENSG00000183773	ENST00000417515	nonsense_mediated_decay	0	0	0	12	0	0	0	0	0	0	6	0	0	0	0	0	0	0	6
AIFM3	ENSG00000183773	ENST00000426113	nonsense_mediated_decay	0	0	0	9	0	0	0	0	0	0	4	0	0	0	0	0	0	0	5
AIFM3	ENSG00000183773	ENST00000434714	protein_coding	0	0	0	10	0	0	0	0	0	1	4	0	0	0	0	0	0	0	5
AIFM3	ENSG00000183773	ENST00000440238	protein_coding	0	0	0	10	1	0	0	0	0	1	4	0	0	0	0	0	0	0	4
AIFM3	ENSG00000183773	ENST00000441376	protein_coding	0	0	0	12	0	0	0	0	0	0	6	0	0	0	0	0	0	0	6
AIFM3	ENSG00000183773	ENST00000465606	processed_transcript	0	0	0	6	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4
AIFM3	ENSG00000183773	ENST00000467926	retained_intron	0	0	0	12	0	0	0	0	0	0	5	0	1	0	0	0	0	0	6
AIFM3	ENSG00000183773	ENST00000468124	processed_transcript	0	0	0	9	0	0	0	0	0	0	4	0	0	0	0	0	0	0	5
AIFM3	ENSG00000183773	ENST00000472575	retained_intron	0	0	0	12	0	0	0	0	0	0	5	0	1	0	0	0	0	0	6
AIFM3	ENSG00000183773	ENST00000479523	retained_intron	0	0	0	10	0	0	0	0	0	2	2	0	0	0	0	0	0	0	6
AIFM3	ENSG00000183773	ENST00000483107	processed_transcript	0	0	0	5	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3
AIFM3	ENSG00000183773	ENST00000484206	retained_intron	0	0	0	9	0	0	0	0	0	0	3	0	1	0	0	0	0	0	5
AIFM3	ENSG00000183773	ENST00000486003	retained_intron	0	0	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2
AIFM3	ENSG00000183773	ENST00000495869	retained_intron	0	0	0	10	0	0	0	0	0	2	2	0	0	0	0	0	0	0	6
AIFM3	ENSG00000183773	ENST00000496097	processed_transcript	0	0	0	9	0	0	0	0	0	0	4	0	0	0	0	0	0	0	5
AL008721.1	ENSG00000265978	ENST00000581611	miRNA	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
AL020993.1	ENSG00000265311	ENST00000579493	miRNA	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AL021977.1	ENSG00000256873	ENST00000541788	pseudogene	0	0	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8
AL022237.3	ENSG00000234735	ENST00000446663	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AL022314.1	ENSG00000252142	ENST00000516333	miRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AL022328.1	ENSG00000268427	ENST00000595015	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AL022476.2	ENSG00000230319	ENST00000443063	antisense	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
AL031590.1	ENSG00000214854	ENST00000456974	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AL031594.1	ENSG00000252124	ENST00000516315	miRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AL049747.1	ENSG00000268818	ENST00000594060	protein_coding	0	0	0	11	0	0	0	0	0	2	6	0	0	0	0	0	0	0	3
AL049758.2	ENSG00000226989	ENST00000423154	processed_pseudogene	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AL954742.1	ENSG00000251912	ENST00000516103	miRNA	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
ALG12	ENSG00000182858	ENST00000330817	protein_coding	0	0	0	26	4	0	0	0	0	8	8	0	0	0	0	0	0	0	6
ALG12	ENSG00000182858	ENST00000486602	protein_coding	0	0	0	13	0	0	0	0	0	6	2	0	0	0	0	0	0	0	5
ALG12	ENSG00000182858	ENST00000492791	nonsense_mediated_decay	0	0	0	13	0	0	0	0	0	5	4	0	0	0	0	0	0	0	4
ANKRD62P1	ENSG00000259271	ENST00000434304	transcribed_unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANKRD62P1-PARP4P3	ENSG00000189295	ENST00000338526	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANKRD62P1-PARP4P3	ENSG00000189295	ENST00000456726	processed_transcript	0	0	0	6	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0
ANKRD62P1-PARP4P3	ENSG00000189295	ENST00000457060	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AP000343.1	ENSG00000214526	ENST00000440602	processed_pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
AP000343.2	ENSG00000236611	ENST00000450776	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AP000344.3	ENSG00000234928	ENST00000428415	lincRNA	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3
AP000344.3	ENSG00000234928	ENST00000449711	lincRNA	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3
AP000344.4	ENSG00000227755	ENST00000426024	transcribed_processed_pseudogene	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AP000344.4	ENSG00000227755	ENST00000454268	processed_transcript	0	0	0	6	0	0	0	0	0	2	2	0	0	0	0	0	0	0	2
AP000344.4	ENSG00000227755	ENST00000457193	processed_transcript	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AP000345.1	ENSG00000178248	ENST00000320372	lincRNA	0	0	0	5	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0
AP000345.1	ENSG00000178248	ENST00000539460	lincRNA	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
AP000345.2	ENSG00000224277	ENST00000454863	antisense	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1
AP000345.2	ENSG00000224277	ENST00000458318	antisense	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1
AP000345.4	ENSG00000225413	ENST00000432249	lincRNA	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AP000347.2	ENSG00000272578	ENST00000417194	processed_transcript	0	0	0	39	0	0	0	0	0	4	33	0	2	0	0	0	0	0	0
AP000347.2	ENSG00000272578	ENST00000432595	processed_transcript	0	0	0	16	0	0	0	0	0	1	10	0	1	0	0	0	0	0	4
AP000347.2	ENSG00000272578	ENST00000435868	transcribed_unprocessed_pseudogene	0	0	0	54	0	0	0	0	0	4	46	0	0	0	0	0	0	0	4
AP000347.2	ENSG00000272578	ENST00000437294	processed_transcript	0	0	0	7	0	0	0	0	0	2	1	0	1	0	0	0	0	0	3
AP000347.2	ENSG00000272578	ENST00000437862	processed_transcript	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1
AP000347.2	ENSG00000272578	ENST00000438858	processed_transcript	0	0	0	38	0	0	0	0	0	4	33	0	0	0	0	0	0	0	1
AP000347.2	ENSG00000272578	ENST00000444220	processed_transcript	0	0	0	11	0	0	0	0	0	4	3	0	1	0	0	0	0	0	3
AP000347.2	ENSG00000272578	ENST00000451919	processed_transcript	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1
AP000347.2	ENSG00000272578	ENST00000458554	processed_transcript	0	0	0	7	0	0	0	0	0	4	2	0	0	0	0	0	0	0	1
AP000347.4	ENSG00000234353	ENST00000425948	transcribed_unprocessed_pseudogene	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5
AP000347.4	ENSG00000234353	ENST00000430707	processed_transcript	0	0	0	7	0	0	0	0	0	1	0	0	1	0	0	0	0	0	5
AP000349.1	ENSG00000267954	ENST00000598975	protein_coding	0	1	1	14	0	0	0	0	0	7	0	1	0	0	0	0	0	1	7
AP000350.10	ENSG00000251357	ENST00000433835	protein_coding	0	0	0	37	0	0	0	0	0	0	36	0	0	0	0	0	0	0	1
AP000350.4	ENSG00000218537	ENST00000406213	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP000350.5	ENSG00000273295	ENST00000609510	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AP000354.2	ENSG00000215464	ENST00000396982	processed_pseudogene	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
AP000354.4	ENSG00000230712	ENST00000402176	unprocessed_pseudogene	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2
AP000355.2	ENSG00000228923	ENST00000432032	antisense	0	0	0	11	0	0	0	0	0	3	2	0	1	0	0	0	0	0	5
AP000356.1	ENSG00000240906	ENST00000344557	processed_pseudogene	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AP000357.4	ENSG00000224334	ENST00000409926	processed_pseudogene	0	0	0	7	0	0	0	0	0	3	0	0	1	0	0	0	0	0	3
AP000358.5	ENSG00000237601	ENST00000456260	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AP000361.2	ENSG00000237472	ENST00000415639	processed_pseudogene	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
AP000362.1	ENSG00000223679	ENST00000420944	unprocessed_pseudogene	0	0	0	10	0	0	0	0	0	3	4	0	0	0	0	0	0	0	3
AP000525.10	ENSG00000232775	ENST00000609679	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AP000525.9	ENSG00000206195	ENST00000413768	lincRNA	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AP000525.9	ENSG00000206195	ENST00000437781	lincRNA	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AP000525.9	ENSG00000206195	ENST00000447898	lincRNA	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AP000539.1	ENSG00000264612	ENST00000584802	miRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AP000539.2	ENSG00000265270	ENST00000581323	miRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AP000539.3	ENSG00000265406	ENST00000583607	miRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AP1B1	ENSG00000100280	ENST00000317368	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
AP1B1	ENSG00000100280	ENST00000356015	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
AP1B1	ENSG00000100280	ENST00000357586	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
AP1B1	ENSG00000100280	ENST00000402502	protein_coding	0	0	0	5	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1
AP1B1	ENSG00000100280	ENST00000405198	protein_coding	0	0	0	5	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1
AP1B1	ENSG00000100280	ENST00000415447	protein_coding	0	0	0	10	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
AP1B1	ENSG00000100280	ENST00000415756	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AP1B1	ENSG00000100280	ENST00000421126	protein_coding	0	0	0	5	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1
AP1B1	ENSG00000100280	ENST00000432560	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
AP1B1	ENSG00000100280	ENST00000472057	processed_transcript	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AP1B1	ENSG00000100280	ENST00000473606	retained_intron	0	0	0	4	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0
AP1B1P1	ENSG00000234479	ENST00000432373	processed_transcript	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AP1B1P1	ENSG00000234479	ENST00000448124	transcribed_unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AP1B1P2	ENSG00000232707	ENST00000416196	unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
APOBEC3A	ENSG00000128383	ENST00000249116	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
APOBEC3A	ENSG00000128383	ENST00000402255	protein_coding	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2
APOBEC3A	ENSG00000128383	ENST00000488758	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
APOBEC3A	ENSG00000128383	ENST00000495988	processed_transcript	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
APOBEC3B	ENSG00000179750	ENST00000333467	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
APOBEC3B	ENSG00000179750	ENST00000335760	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
APOBEC3B	ENSG00000179750	ENST00000402182	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
APOBEC3B	ENSG00000179750	ENST00000407298	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
APOBEC3B-AS1	ENSG00000249310	ENST00000513758	antisense	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
APOBEC3D	ENSG00000243811	ENST00000216099	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
APOBEC3D	ENSG00000243811	ENST00000381568	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
APOBEC3D	ENSG00000243811	ENST00000427494	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
APOBEC3G	ENSG00000239713	ENST00000407997	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
APOBEC3G	ENSG00000239713	ENST00000452957	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
APOBEC3G	ENSG00000239713	ENST00000461827	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
APOBEC3G	ENSG00000239713	ENST00000463934	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
APOBEC3G	ENSG00000239713	ENST00000480000	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
APOBEC3G	ENSG00000239713	ENST00000486357	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
APOL1	ENSG00000100342	ENST00000319136	protein_coding	0	0	0	6	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0
APOL1	ENSG00000100342	ENST00000347595	protein_coding	0	0	0	6	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0
